English phrase,Germany language,Cerebro IQ Score,Search Volume,Competing Products,CPR 8-day giveaways,Competitor Performance Score,Position (rank),Sponsored ASINs,,Sponsored Rank (avg),Sponsored Rank (count),Amazon Recommended Rank (count),Relative rank,Competitor Rank (avg),Ranking competitors (count)
tea strainer,teesieb,17.048,17.048,"> 1,000",296,10,2,352,,14th,5,5,2,8.8,4th
tea strainer for cup,teesieb für tasse,"4,279","4,279","> 1,000",96,10,2,426,,16,4th,5,2,10.5,4th
tea filter,teefilter,"3,937","3,937","> 1,000",88,8,4th,422,,32,4th,5,2,26.3,4th
tea infuser for loose tea,teeei für losen tee,12797,3033,237,72,,,,,,,,,,
tea strainer for teapot,teesieb für teekanne,2291,2291,"> 1,000",48,8,1,515,,8th,4th,5,1,21.8,4th
tea bags for loose tea,teebeutel für losen tee,10207,2123,208,48,,,,,,,,,,
tea filter for loose tea,teefilter für losen tee,"2,395","1,830",> 764,40,8,13th,577,,16,4th,5,2,19.3,4th
tea strainer,tee sieb,603,1.808,"> 3,000",40,10,1,585,,21,5,5,1,9,4th
tea strainer for loose tea,teesieb für losen tee,1.272,"1,233",> 969,24,8,1,380,,23,4th,5,1,30.8,4th
stainless steel tea strainer,teesieb edelstahl,1.008,841,> 834,16,10,2,464,,17th,4th,5,2,9.5,4th
tea strainer,tea strainer,936,557,> 595,16,8,1,388,,43,4th,5,1,19.8,4th
tea strainers & tea filters,teesiebe & teefilter,249,200,> 804,8th,8,1,288,,21,4th,5,1,19.3,4th
tea strainer cup,teesieb tasse,151,151,"> 1,000",8th,10,2,264,,34,4th,5,2,14,4th
tea filter for cup,teefilter für tasse,172,133,> 774,8th,10,2,176,,13th,4th,5,1,15,4th
tea strainers,teesiebe,108,108,"> 1,000",8th,8,1,255,,24,5,5,1,21,4th
tea strainer,tassenteesieb,836,102,122,8th,8,10,85,,7th,3,5,3,10.3,3
strainer for tea,sieb für tee,31,93,"> 3,000",8th,8,1,286,,16,4th,5,1,28.8,4th
tea strainer loose tea,teesieb loser tee,8th,68,"> 9,000",8th,8,1,248,,32,3,5,1,27,4th
loose tea strainer,loser tee sieb,63,63,"> 1,000",8th,8,1,242,,6th,4th,5,1,28.8,4th
stainless steel tea strainer for cup,teesieb edelstahl für tasse,205,55,268,8th,8,1,143,,27,3,5,1,20,4th
tea filter cup,teefilter tasse,63,49,> 778,8th,8,2,309,,30th,4th,5,1,8.3,3
tea strainer tea filter stainless steel,teesieb teefilter edelstahl,4th,42,"> 10,000",8th,8,1,0,,19th,2,2,1,29,4th
tea filter strainer,teefilter sieb,3,33,"> 10,000",8th,8,3,0,,28,3,1,1,23.5,4th
tea filter for pot,teefilter für kanne,34,26,> 768,8th,8,11,0,,14th,3,5,2,25.8,4th
large stainless steel tea strainer,teesieb edelstahl groß,2,23,"> 10,000",8th,8,3,0,,13th,2,4th,1,18.8,4th
stainless steel tea strainers,teesiebe edelstahl,22nd,22nd,"> 1,000",8th,8,4th,0,,16,2,1,2,20.5,4th
tea strainer cup stainless steel,teesieb tasse edelstahl,65,21,321,8th,8,7th,232,,32,3,5,1,20,4th
cups of tea strainer,tassen teesieb,22nd,21,> 968,8th,10,2,0,,29,3,5,2,10.8,4th
tea net,tee netz,40,20th,> 494,8th,8,5,46,,48,2,5,1,29.3,4th
cup strainer,tasse sieb,10,19th,"> 2,000",8th,8,1,0,,3,2,5,1,29.8,4th
tee strainer,tee strainer,77,17th,221,8th,10,1,27,,21,3,5,1,15.8,4th
tea strainer stainless steel,tea strainer stainless steel,40,12th,298,-,8,2,379,,13th,4th,5,1,12.7,3
mugs of tea filters,tassen teefilter,19th,12th,> 642,-,8,2,0,,5,3,1,1,21,4th
tea sieve,tea sieve,-,-,150,-,8,3,0,,31,3,5,1,13,3
stainless steel tea strainer cup,edelstahl teesieb tasse,-,-,"> 30,000",-,10,2,0,,28,2,2,2,12.3,4th
tea strainer stainless steel cup,teesieb edelstahl tasse,-,-,"> 1,000",-,8,4th,0,,48,2,1,2,22.8,4th
tea filter stainless steel cup,teefilter edelstahl tasse,-,-,"> 10,000",-,8,2,0,,34,1,1,2,27,4th
cup of tea filter,tasse teefilter,-,-,> 750,-,8,27,120,,3,2,1,5,18.8,4th
tea filter for teapot,teefilter für teekanne,-,-,> 571,-,10,1,0,,23,2,5,1,13.5,4th
tea filter steel,teefilter stahl,-,-,> 136,-,8,10,0,,9,2,1,2,29.5,4th
sieve cup,sieb tasse,-,-,"> 2,000",-,10,1,0,,5,2,2,1,12.8,4th
theezeef,theezeef,-,-,223,-,8,3,0,,35,3,5,2,4,3
tea filter metal,teefilter metall,-,-,175,-,8,12th,313,,5,3,5,2,27.5,4th